FA1: overmindX11(3,179,492)
FA2: overmindzX4(5,011,928)
FA3: overmindzX17(1,388,124)
FA4: overmindX8(7,812,784)
FA5: cutterpillarF10(5,872,648)
FA6: cutterpillarxF5(7,458,788)
FA7: overmindzX17(7,944,052)
FA8: cutterpillarF13(7,938,676)
FA9: cutterpillarF14(2,068,508)
FA10: overmindX17(1,780,476)
FA11: cutterpillarzxF3(6,164,952)
FA12: cutterpillarzF2(13,592,756)
FA13: dfsF1(23,763,968)
FA14: cutterpillarxF1(28,740,028)
FA15: cutterpillarF2(8,781,696)
FA16: cutterpillarzF2(16,383,744)
FA17: overmindzX2(15,131,316)
FA18: cutterpillarzF2(14,988,612)
FA19: cutterpillarF28(105,152,220)
FA20: dfs1(608,359,432)
FA21: cutterpillarzF21(114,185,176)
FA22: overmindX23(102,796,040)
FA23: cutterpillarzF23(82,270,276)
FA24: overmindzX15(94,339,324)
FA25: overmindzX26(141,216,116)
FA26: overmindX21(169,237,656)
FA27: cutterpillarzF25(32,332,128)
FA28: cutterpillarzF27(10,943,480)
FA29: overmindX26(57,853,492)
FA30: cutterpillarF27(20,427,296)
FA31: cutterpillarF21(67,320,840)
FA32: overmindX3(153,012,572)
FA33: overmindzX25(174,395,456)
FA34: overmindzX26(193,169,788)
FA35: overmindzX24(195,298,816)
FA36: overmindzX23(120,855,932)
FA37: overmindzX16(184,799,192)
FA38: overmindzX25(233,269,296)
FA39: overmindzX19(391,919,208)
FA40: cutterpillarzF6(227,778,340)
FA41: overmindX9(280,010,688)
FA42: overmindzX23(475,850,144)
FA43: overmindzX18(127,631,048)
FA44: cutterpillarF27(349,750,828)
FA45: overmindzX25(483,591,924)
FA46: overmindzX9(785,533,380)
FA47: cutterpillarF30(34,874,740)
FA48: cutterpillarF17(55,039,968)
FA49: overmindzX31(350,681,428)
FA50: overmindzX35(849,485,020)
FA51: overmindX19(232,458,364)
FA52: overmindzX4(1,115,218,516)
FA53: cutterpillarzxF32(183,603,816)
FA54: overmindX25(9,430,708)
FA55: cutterpillarF2(743,848,764)
FA56: cutterpillarzF30(74,805,616)
FA57: overmindX22(989,525,692)
FA58: overmindX23(877,379,256)
FA59: cutterpillarF24(650,680,176)
FA60: overmindX39(1,536,714,692)
FA61: overmindX2(3,557,194,832)
FA62: cutterpillarzF2(7,428,051,528)
FA63: overmindX36(3,191,981,012)
FA64: overmindzX10(2,362,933,888)
FA65: cutterpillarzF38(2,825,920,700)
FA66: overmindX15(1,204,122,064)
FA67: overmindzX40(992,948,436)
FA68: cutterpillarxF15(1,796,074,072)
FA69: cutterpillarxF14(2,939,145,724)
FA70: cutterpillarzF26(1,322,055,364)
FA71: overmindzX6(2,063,084,600)
FA72: overmindzX39(999,976,024)
FA73: overmindX36(1,508,676,108)
FA74: overmindzX40(1,960,163,440)
FA75: overmindX14(6,814,329,564)
FA76: overmindX38(1,773,309,996)
FA77: cutterpillarF38(682,731,172)
FA78: overmindX34(2,999,835,008)
FA79: overmindX33(2,686,707,320)
FA80: cutterpillarF8(3,958,416,864)
FA81: cutterpillarxF19(6,256,487,220)
FA82: cutterpillarF33(3,185,476,912)
FA83: cutterpillarF2(8,317,895,544)
FA84: overmindX30(1,712,564,712)
FA85: overmindzX38(6,555,594,476)
FA86: overmindzX11(5,698,021,860)
FA87: overmindX17(5,294,312,788)
FA88: overmindX24(1,173,926,324)
FA89: overmindX40(3,633,631,676)
FA90: overmindzX36(29,013,568,228)
FA91: overmindX34(5,182,396,684)
FA92: overmindzX40(4,167,027,684)
FA93: overmindX37(4,923,944,488)
FA94: overmindX39(4,283,124,828)
FA95: cutterpillarF30(1,104,993,152)
FA96: overmindX7(32,315,435,640)
FA97: cutterpillarzF2(23,105,429,984)
FA98: cutterpillarzxF4(26,620,870,924)
FA99: overmindX35(17,331,443,772)
FA100: overmindzX21(9,985,515,248)
FA101: cutterpillarF8(3,296,735,600)
FA102: cutterpillarzF20(2,592,173,716)
FA103: overmindX40(5,889,917,888)
FA104: overmindzX15(73,838,971,102)
FA105: cutterpillarzxF17(88,657,927,519)
FA106: cutterpillarxF1(503,878,618,048)
FA107: cutterpillarF26(9,070,321,224)
FA108: overmindX28(34,501,089,640)
FA109: overmindX20(21,770,042,612)
FA110: overmindzX40(15,734,250,516)
FA111: overmindX38(20,470,267,924)
FA112: overmindX31(13,371,711,356)
FA113: overmindzX36(1,650,518,652)
FA114: overmindX33(9,674,271,776)
FA115: overmindzX12(251,899,955,876)
FA116: overmindzX19(68,978,349,508)
FA117: overmindzX40(68,840,472,688)
FA118: overmindX40(5,467,958,740)
FA119: overmindX36(57,017,764,552)
FA120: cutterpillarzF39(14,645,318,460)
FA121: cutterpillarxF40(9,195,339,352)
FA122: overmindX35(34,532,853,768)
FA123: overmindzX39(61,636,761,492)
FA124: overmindX28(1,002,199,780)
FA125: cutterpillarzF2(52,345,030,880)
FA126: overmindX28(37,042,959,468)
FA127: overmindzX13(27,719,841,048)
FA128: overmindzX32(49,781,903,820)
FA129: overmindX13(52,256,248,516)
FA130: overmindzX40(18,356,818,564)
FA131: overmindzX29(28,917,099,488)
FA132: overmindzX37(13,317,906,764)
FA133: overmindzX33(18,145,716,008)
FA134: overmindzX31(6,004,418,540)
FA135: overmindzX36(13,218,583,280)
FA136: overmindzX38(21,098,908,752)
FA137: overmindzX39(125,685,766,948)
FA138: overmindzX19(160,359,265,848)
FA139: overmindX17(166,518,836,892)
FA140: cutterpillarF40(7,310,890,768)
FA141: cutterpillarF4(94,423,534,068)
FA142: overmindX39(56,110,021,104)
FA143: overmindX37(207,568,295,804)
FA144: overmindzX31(159,162,372,820)
FA145: overmindX15(60,817,939,644)
FA146: overmindX37(38,518,619,448)
FA147: overmindX13(63,113,888,184)
FA148: overmindX28(38,573,414,420)
